Date,SKU0,SKU1,SKU2
2018/7/1,8,8,8
2018/7/2,8,8,8
2018/7/3,8,8,8
2018/7/4,8,8,8
2018/7/5,8,8,8
2018/7/6,8,8,8
2018/7/7,8,8,8
2018/7/8,8,8,8
2018/7/9,8,8,8
2018/7/10,8,8,8
2018/7/11,8,8,8
2018/7/12,8,8,8
2018/7/13,8,8,8
2018/7/14,8,8,8
2018/7/15,8,8,8
2018/7/16,8,8,8
2018/7/17,8,8,8
2018/7/18,8,8,8
2018/7/19,8,8,8
2018/7/20,8,8,8
2018/7/21,8,8,8
2018/7/22,8,8,8
2018/7/23,8,8,8
2018/7/24,8,8,8
2018/7/25,8,8,8
2018/7/26,8,8,8
2018/7/27,8,8,8
2018/7/28,8,8,8
2018/7/29,8,8,8
2018/7/30,8,8,8
2018/7/31,8,8,8
2018/8/1,8,8,8
2018/8/2,8,8,8
2018/8/3,8,8,8
2018/8/4,8,8,8
2018/8/5,8,8,8
2018/8/6,8,8,8
2018/8/7,8,8,8
2018/8/8,8,8,8
2018/8/9,8,8,8
2018/8/10,8,8,8
2018/8/11,8,8,8
2018/8/12,8,8,8
2018/8/13,8,8,8
2018/8/14,8,8,8
2018/8/15,8,8,8
2018/8/16,8,8,8
2018/8/17,8,8,8
2018/8/18,8,8,8
2018/8/19,8,8,8
2018/8/20,8,8,8
2018/8/21,8,8,8
2018/8/22,8,8,8
2018/8/23,8,8,8
2018/8/24,8,8,8
2018/8/25,8,8,8
2018/8/26,8,8,8
2018/8/27,8,8,8
2018/8/28,8,8,8
2018/8/29,8,8,8
2018/8/30,8,8,8
2018/8/31,8,8,8
2018/9/1,8,8,8
2018/9/2,8,8,8
2018/9/3,8,8,8
2018/9/4,8,8,8
2018/9/5,8,8,8
2018/9/6,8,8,8
2018/9/7,8,8,8
2018/9/8,8,8,8
2018/9/9,8,8,8
2018/9/10,8,8,8
2018/9/11,8,8,8
2018/9/12,8,8,8
2018/9/13,8,8,8
2018/9/14,8,8,8
2018/9/15,8,8,8
2018/9/16,8,8,8
2018/9/17,8,8,8
2018/9/18,8,8,8
2018/9/19,8,8,8
2018/9/20,8,8,8
2018/9/21,8,8,8
2018/9/22,8,8,8
2018/9/23,8,8,8
2018/9/24,8,8,8
2018/9/25,8,8,8
2018/9/26,8,8,8
2018/9/27,8,8,8
2018/9/28,8,8,8
2018/9/29,8,8,8
2018/9/30,8,8,8
2018/10/1,8,8,8
2018/10/2,8,8,8
2018/10/3,8,8,8
2018/10/4,8,8,8
2018/10/5,8,8,8
2018/10/6,8,8,8
2018/10/7,8,8,8
2018/10/8,8,8,8
2018/10/9,8,8,8
2018/10/10,8,8,8
2018/10/11,8,8,8
2018/10/12,8,8,8
2018/10/13,8,8,8
2018/10/14,8,8,8
2018/10/15,8,8,8
2018/10/16,8,8,8
2018/10/17,8,8,8
2018/10/18,8,8,8
2018/10/19,8,8,8
2018/10/20,8,8,8
2018/10/21,8,8,8
2018/10/22,8,8,8
2018/10/23,8,8,8
2018/10/24,8,8,8
2018/10/25,8,8,8
2018/10/26,8,8,8
2018/10/27,8,8,8
2018/10/28,8,8,8
2018/10/29,8,8,8
2018/10/30,8,8,8
2018/10/31,8,8,8
2018/11/1,8,8,8
2018/11/2,8,8,8
2018/11/3,8,8,8
2018/11/4,8,8,8
2018/11/5,8,8,8
2018/11/6,8,8,8
2018/11/7,8,8,8
2018/11/8,8,8,8
2018/11/9,8,8,8
2018/11/10,8,8,8
2018/11/11,8,8,8
2018/11/12,8,8,8
2018/11/13,8,8,8
2018/11/14,8,8,8
2018/11/15,8,8,8
2018/11/16,8,8,8
2018/11/17,8,8,8
2018/11/18,8,8,8
2018/11/19,8,8,8
2018/11/20,8,8,8
2018/11/21,8,8,8
2018/11/22,8,8,8
2018/11/23,8,8,8
2018/11/24,8,8,8
2018/11/25,8,8,8
2018/11/26,8,8,8
2018/11/27,8,8,8
2018/11/28,8,8,8
2018/11/29,8,8,8
2018/11/30,8,8,8
2018/12/1,8,8,8
2018/12/2,8,8,8
2018/12/3,8,8,8
2018/12/4,8,8,8
2018/12/5,8,8,8
2018/12/6,8,8,8
2018/12/7,8,8,8
2018/12/8,8,8,8
2018/12/9,8,8,8
2018/12/10,8,8,8
2018/12/11,8,8,8
2018/12/12,8,8,8
2018/12/13,8,8,8
2018/12/14,8,8,8
2018/12/15,8,8,8
2018/12/16,8,8,8
2018/12/17,8,8,8
2018/12/18,8,8,8
2018/12/19,8,8,8
2018/12/20,8,8,8
2018/12/21,8,8,8
2018/12/22,8,8,8
2018/12/23,8,8,8
2018/12/24,8,8,8
2018/12/25,8,8,8
2018/12/26,8,8,8
2018/12/27,8,8,8
2018/12/28,8,8,8
2018/12/29,8,8,8
2018/12/30,8,8,8
2018/12/31,8,8,8
2019/1/1,8,8,8
2019/1/2,8,8,8
2019/1/3,8,8,8
2019/1/4,8,8,8
2019/1/5,8,8,8
2019/1/6,8,8,8
2019/1/7,8,8,8
2019/1/8,8,8,8
2019/1/9,8,8,8
2019/1/10,8,8,8
2019/1/11,8,8,8
2019/1/12,8,8,8
2019/1/13,8,8,8
2019/1/14,8,8,8
2019/1/15,8,8,8
2019/1/16,8,8,8
2019/1/17,8,8,8
2019/1/18,8,8,8
2019/1/19,8,8,8
2019/1/20,8,8,8
2019/1/21,8,8,8
